"ppntID","colblind","gender","age","language","country","screenheight","screenwidth"
6441040,"no","female","23","english","United States",768,1366
5211409,"no","female","32","english","United States",1080,1920
5592116,"no","female","60","eng","United States",613,1090
1080235,"no","female","48","english","United States",546,970
8280988,"no","female","56","english","United States",768,1366
5724705,"no","female","30","english","United States",900,1440
3604323,"no","male","23","english","United States",1080,1920
4203615,"no","female","27","english","United States",768,1366
8938234,"no","male","30","english","United States",768,1366
1419699,"no","female","29","english","United States",900,1600
1470712,"no","female","59","english","United States",768,1366
6467193,"no","male","48","english","United States",546,970
1955150,"no","male","36","english","United States",720,1280
9054817,"no","female","34","english","United States",900,1600
2017548,"no","male","38","english","United States",960,2293
3903526,"no","male","30","english","United States",768,1366
5784777,"no","male","38","english","United States",1440,2560
9825997,"yes","other","-1","none","United States",768,1360
9814565,"no","female","39","english","United States",1080,1920
2816403,"no","male","55","english","United States",1080,1920
7551946,"no","male","33","english","United States",768,1366
8869026,"no","female","69","english","United States",768,1366
2047966,"no","female","32","english","United States",900,1440
7481382,"yes","female","28","english","United States",900,1440
6436179,"no","female","28","english","United States",1440,2731
904511,"no","male","50","english","United States",768,1366
1958890,"no","male","43","english ","United States",1080,1920
859568,"no","male","41","english","United States",1200,1920
3393894,"no","male","20","english","United States",800,1280
117561,"no","male","29","english","United States",1024,1280
6460234,"no","male","39","english","United States",1080,1920
4788533,"no","female","62","english","United States",1080,1920
3184688,"no","female","28","english","United States",768,1366
3234148,"no","male","44","english","United States",768,1366
2542469,"no","female","66","english","United States",768,1366
3918143,"no","male","46","english","United States",720,1280
5684762,"no","male","52","english","United States",1080,1920
7514840,"no","male","41","italian","United States",1080,1920
9353447,"no","male","27","english","United States",1080,1920
4816530,"no","male","24","english","United States",1152,2048
2654464,"no","female","23","english","United States",1080,1920
8179125,"no","male","23","english","United States",768,1366
6377920,"no","female","30","english","United States",900,1600
357882,"no","male","19","english","United States",1080,1920
3603298,"no","male","33","english","United States",1728,3072
120611,"no","other","35","english","United States",2160,3840
6943192,"no","male","37","english","United States",864,1536
8694497,"no","male","31","english","United States",1050,1680
8277648,"no","male","54","english","United States",768,1366
9614436,"no","male","37","english","United States",768,1366
7012733,"no","male","55","english","United States",900,1600
3954272,"no","male","65","english","United States",864,1536
4254234,"no","female","30","english","United States",768,1366
4386011,"no","male","37","english","United States",720,1280
3925325,"no","male","35","english","United States",768,1366
9019129,"no","male","42","english","United States",800,1280
4262989,"no","male","37","english","United States",979,1739
3641200,"no","other","34","english","United States",768,1366
