"ppntID","colblind","gender","age","language","country","screenheight","screenwidth"
824962,"no","female","65","english","United States",720,1280
2967038,"no","other","37","english ","United States",768,1360
1258996,"yes","female","22","english","United States",800,1280
2577564,"no","male","38","english","United States",768,1366
4415216,"no","female","37","english","United States",768,1360
313967,"no","male","52","english","United States",1440,2560
3381815,"no","female","36","english","United States",1080,1920
6626757,"no","male","26","english","United States",768,1366
7896846,"no","male","50","english","United States",1080,1920
34280,"no","female","69","english","United States",768,1366
9493895,"no","male","29","english","United States",692,360
4166919,"no","female","27","english","United States",1080,1920
1122907,"no","female","40","english","United States",864,1536
1869721,"no","male","29","english","United States",1080,1920
888116,"no","male","54","anguish","United States",1280,800
1095934,"no","female","32","english","United States",1080,1920
321005,"no","male","33","english","United States",1080,1920
5949135,"no","female","37","english","United States",768,1366
8494457,"no","male","28","english","United States",1080,1920
2748246,"no","male","67","english","United States",768,1366
6186527,"no","male","35","english","United States",1080,1920
4252093,"no","male","26","english","United States",864,1536
5855948,"no","male","27","english","United States",800,1280
2284490,"no","male","47","english","United States",1080,1920
8818857,"no","male","45","english","United States",1080,1920
2772013,"no","male","40","english","United States",1080,1920
3996975,"no","male","61","english","United States",864,1536
6682668,"no","male","60","english","United States",1080,1920
8895621,"no","male","50","english","United States",1080,1920
5453539,"no","female","32","english","United States",800,1280
8975987,"no","female","60","english","United States",768,1366
9194906,"no","male","61","english","United States",1080,1920
1066991,"no","male","24","english","United States",1440,2560
9583608,"no","female","55","english","United States",1440,2560
2045345,"no","female","36","english","United States",768,1366
8292959,"no","male","46","english","United States",864,1536
3409883,"no","female","26","chinese","United States",900,1440
2780724,"no","male","34","english","United States",768,1366
807640,"no","male","49","english","United States",1080,1920
599161,"no","male","27","english","United States",864,1536
7644822,"no","male","32","english","United States",1080,1920
4327258,"no","male","55","english","United States",1080,1920
4910505,"no","male","32","english","United States",1440,2560
6823120,"no","female","38","english","United States",768,1366
7950101,"no","female","26","english","United States",900,1440
8459975,"no","female","52","english","United States",864,1536
185601,"no","male","30","english","United States",1080,1920
4225826,"no","male","31","english","United States",1080,1920
5430681,"no","female","51","english","United States",768,1366
5430681,"no","female","51","english","United States",768,1366
7911912,"no","male","30","english","United States",768,1366
6675477,"no","female","64","english","United States",768,1366
8450606,"no","male","54","english","United States",768,1366
2081250,"no","male","26","english","United States",768,1366
667548,"no","female","62","english","United States",900,1600
3371860,"no","female","5","english","United States",1080,1920
6304954,"no","male","29","english ","United States",1024,1280
2884403,"no","male","25","english","United States",1080,1920
9167488,"no","male","30","english","United States",1080,1920
4750258,"no","female","28","english","United States",1080,1920
9136037,"no","male","34","english","United States",864,1536
6851283,"no","male","27","english","United States",1080,1920
