"ppntID","base1","base2","fuel1","fuel2","fueltype1","fueltype2","valuegap","whichtrial","sliderfeature","drawtime","responsetime"
"1258996",0.1998329558421703,0.34,0.3083195922376516,0.58651207941115,"color","color",0.13780169153888844,18,"base",1586276150937,1586276156446
"313967",0.08842916285687352,0.21,0.17887181915524852,0.9807331363728556,"color","color",0.19013647341171497,7,"base",1586276105977,1586276160312
"824962",0.7449421291672613,0.4,0.0833155407677455,0.2613860050025578,"color","color",0.04248914566877703,13,"base",1586276163586,1586276167466
"3381815",0.4439011661898198,0.7138303535617256,0.768158207164102,0.36,"height","height",-0.08400739669620483,13,"fuel",1586276177162,1586276179850
"3381815",0.3949751392699081,0.54,0.7651725886814591,0.6016481206652451,"height","color",0.022665835379256982,14,"base",1586276184478,1586276193515
"824962",0.6883754037698127,0.5599495051557286,0.2063447274580903,0.45,"height","height",0.10993464224034305,15,"fuel",1586276196002,1586276203498
"3381815",0.2333239744139488,0.7815383751838674,0.888007964820019,0.18,"height","color",-0.06651664012995276,16,"fuel",1586276204918,1586276214272
"6626757",0.03957314176741322,0.4380422820405312,0.5305512371602092,0.05,"color","height",0.0009065347790091251,3,"fuel",1586276215627,1586276222432
"824962",0.03234056937335794,0.22088912859020116,0.5428586863221383,0.3,"color","height",0.04871037957212928,16,"fuel",1586276229922,1586276233801
"824962",0.5638481283489434,0.8271016496571345,0.7593164276393987,0.53,"color","height",0.010224727769200526,17,"fuel",1586276242475,1586276246538
"6626757",0.9161114020501322,0.5,0.001442536492256563,0.12016724986459226,"color","height",0.05876210080386649,7,"base",1586276255213,1586276256838
"313967",0.9524895236973635,0.9974327318364288,0.24569937905715034,0.19,"height","color",-0.04451386548196162,8,"fuel",1586276206631,1586276267111
"6626757",0.3809118748846563,0.882212815090859,0.977252788479366,0.39,"color","height",-0.02818419401049871,8,"fuel",1586276274594,1586276275685
"7896846",0.2955054163689943,0.21769845265831722,0.5287185572295197,0.73,"height","height",0.0026806730444484117,1,"fuel",1586276309492,1586276334600
"6626757",0.1984098540620054,0.9862839918654505,0.02501389192930481,0.01,"color","height",0.004899837271438363,9,"fuel",1586276277202,1586276288269
"6626757",0.4018183654951901,0.9668867063130862,0.11765942248161787,0.32,"height","color",0.26212602919351585,11,"fuel",1586276289773,1586276297400
"4166919",0.8812205200794034,0.8785641286027712,0.07267140996549593,0.07,"height","height",-0.002540048682503869,2,"fuel",1586276290695,1586276301519
"4166919",0.12638432183937942,0.5431093408042553,0.9654522455756518,0.22,"color","height",-0.002533972348448571,3,"fuel",1586276303027,1586276310477
"6626757",0.5951063251595381,0.860126867749853,0.35881073541807607,0.22,"height","height",-0.024302627277474925,12,"fuel",1586276304661,1586276315331
"6626757",0.06033001109856273,0.47180742013228305,0.031321312324053,0.01,"height","height",0.002828459081191164,13,"fuel",1586276316841,1586276323900
"6626757",0.16276653868738866,0.20636915817529689,0.8979171558415342,0.09,"height","color",-0.12757764324857435,14,"fuel",1586276325410,1586276330271
"7896846",0.8090405699107348,0.9307869435791474,0.373931896753537,0.32,"height","color",-0.004674252911956445,2,"fuel",1586276336104,1586276390347
"6626757",0.5008854553131237,0.4044689793573395,0.3163167634720381,0.57,"height","height",0.07210885213881804,15,"fuel",1586276334186,1586276339489
"6626757",0.5008854553131237,0.4044689793573395,0.3163167634720381,0.38,"height","height",-0.0047402539390764276,15,"fuel",1586276340993,1586276342026
"824962",0.7449421291672613,0.56,0.0833155407677455,0.2613860050025578,"color","color",0.08431090646918629,13,"base",1586276147531,1586276156394
"824962",0.7449421291672613,0.51,0.0833155407677455,0.2613860050025578,"color","color",0.0712416062190584,13,"base",1586276157897,1586276162081
"3381815",0.4439011661898198,0.7138303535617256,0.768158207164102,0.32,"height","height",-0.11256061083867383,13,"fuel",1586276168225,1586276171840
"824962",0.9536159916097702,0.6801206940153418,0.612454746346455,0.66,"height","color",-0.13516698220315937,14,"fuel",1586276176538,1586276180482
"824962",0.9536159916097702,0.6801206940153418,0.612454746346455,0.85,"height","color",-0.005944050340244478,14,"fuel",1586276187850,1586276194498
"313967",0.08842916285687352,0.02,0.17887181915524852,0.9807331363728556,"color","color",0.003797177500872412,7,"base",1586276199811,1586276205128
"6626757",0.3873122472614383,0.7638840982439636,0.8802715872485471,0.45,"height","height",0.002807877552155613,2,"fuel",1586276210409,1586276214118
"3381815",0.6952278286534299,0.61,0.7773962183071947,0.834514097942809,"color","height",-0.031413885111985396,17,"base",1586276219546,1586276227932
"3381815",0.410529474261109,0.779120470992376,0.5983168449984271,0.15,"color","height",-0.1287586291699133,18,"fuel",1586276229434,1586276238294
"6626757",0.9161114020501322,0.92,0.001442536492256563,0.12016724986459226,"color","height",0.10923234574699524,7,"base",1586276235504,1586276247942
"824962",0.6621211751128908,0.3558274219568026,0.01786260905514736,0.33,"color","height",0.10559583754756853,18,"fuel",1586276255602,1586276259778
"6626757",0.3809118748846563,0.882212815090859,0.977252788479366,0.59,"color","height",0.14825836900767303,8,"fuel",1586276262388,1586276269955
"824962",0.6621211751128908,0.3558274219568026,0.01786260905514736,0.13,"color","height",0.03443035315620801,18,"fuel",1586276273044,1586276277362
"6626757",0.1984098540620054,0.9862839918654505,0.02501389192930481,0.01,"color","height",0.004899837271438363,9,"fuel",1586276277202,1586276287357
"4166919",0.8479305869562375,0.52,0.4325678655300078,0.702998878599558,"color","height",-0.0012281072454961572,1,"base",1586276280661,1586276289175
"6626757",0.4018183654951901,0.9668867063130862,0.11765942248161787,0.22,"height","color",0.16543735856220723,11,"fuel",1586276298904,1586276299968
"6626757",0.4018183654951901,0.9668867063130862,0.11765942248161787,0.1,"height","color",0.0494109538046369,11,"fuel",1586276301477,1586276302403
"313967",0.21120414472479365,0.4044175772575054,0.32956380670838303,0.13,"height","height",-0.017030956884615554,9,"fuel",1586276268612,1586276311676
"4166919",0.1174667908609135,0.7928332893720824,0.47023570663142333,0.07,"height","color",0.0002612508498384958,4,"fuel",1586276311982,1586276319810
"4166919",0.3079391551103483,0.3405049775330853,0.869851696764756,0.42,"height","height",-0.12484930600914604,7,"fuel",1586276322804,1586276330636
"6626757",0.16276653868738866,0.20636915817529689,0.8979171558415342,0.5,"height","color",-0.042966288396702634,14,"fuel",1586276331779,1586276332680
"4166919",0.3079391551103483,0.3405049775330853,0.869851696764756,0.66,"height","height",-0.043128111401205566,7,"fuel",1586276332150,1586276335529
"4166919",0.26923386400654925,0.55233643876334,0.09364452870194917,0.26,"color","height",0.11839519577297043,8,"fuel",1586276337039,1586276340395
"34280",0.5189568347570841,0.5,0.37120921513548555,0.5811496149319635,"height","height",0.0979332481466087,1,"base",1586276283699,1586276345266
"3381815",0.5374317461824945,0.35,0.6135983940465912,0.7999006324820028,"color","height",-0.04980203499853286,12,"base",1586276148842,1586276157003
"3381815",0.4439011661898198,0.7138303535617256,0.768158207164102,0.18,"height","height",-0.21249686033731544,13,"fuel",1586276158506,1586276166723
"824962",0.9536159916097702,0.6801206940153418,0.612454746346455,0.52,"height","color",-0.23038387936530724,14,"fuel",1586276168970,1586276175034
"3381815",0.4439011661898198,0.7138303535617256,0.768158207164102,0.5,"height","height",0.015928852802436777,13,"fuel",1586276181351,1586276182976
"313967",0.08842916285687352,0.09,0.17887181915524852,0.9807331363728556,"color","color",0.0724484970469723,7,"base",1586276161814,1586276198308
"6626757",0.9741372374456279,0.8900720592714206,0.6934260428934529,0.76,"height","color",0.0009626352491980406,1,"fuel",1586276198693,1586276208896
"3381815",0.2333239744139488,0.7815383751838674,0.888007964820019,0.26,"height","color",-0.0039935701152433445,16,"fuel",1586276215774,1586276218045
"824962",0.03234056937335794,0.22088912859020116,0.5428586863221383,0.38,"color","height",0.06638150985934538,16,"fuel",1586276222730,1586276228418
"824962",0.5638481283489434,0.8271016496571345,0.7593164276393987,0.62,"color","height",0.0846638762383426,17,"fuel",1586276235308,1586276240969
"824962",0.6621211751128908,0.3558274219568026,0.01786260905514736,0.4,"color","height",0.13050375708454473,18,"fuel",1586276248042,1586276254098
"6626757",0.9161114020501322,0.3,0.001442536492256563,0.12016724986459226,"color","height",0.03472865083094804,7,"base",1586276258343,1586276260870
"824962",0.6621211751128908,0.3558274219568026,0.01786260905514736,0.2,"color","height",0.059338272693184195,18,"fuel",1586276267781,1586276271538
"824962",0.1738065849193754,0.14753534601850782,0.4525292875733886,0.54,"height","height",0.001016516800865605,1,"fuel",1586275778718,1586275847059
"1258996",0.1445522485085704,0.5,0.09460426389172438,0.3678689464471332,"color","height",0.17025921415951967,1,"base",1586275841454,1586275849929
"824962",0.6809989467781014,0.78,0.3689855344089824,0.3148294029403078,"color","height",-0.005711826015431826,2,"base",1586275848575,1586275867826
"1258996",0.1445522485085704,0.04,0.09460426389172438,0.3678689464471332,"color","height",0.0010394987938384097,1,"base",1586275851433,1586275872051
"2967038",0.35927972840033817,0.4563400415779877,0.5863718974879566,0.5,"color","height",0.017498484717929863,1,"fuel",1586275836828,1586275874652
"1258996",0.22216504481611987,0.07046894765153033,0.28931094142388325,0.91,"height","color",-0.00014803590433824787,2,"fuel",1586275873558,1586275882025
"2967038",0.3781135765743844,0.7933206400199158,0.46013285355993916,0.5,"height","color",0.22267784105103183,2,"fuel",1586275876158,1586275883539
"1258996",0.1946028423677182,0.6541811528150872,0.8365693680349471,0.24,"height","height",-0.005795300181745511,3,"fuel",1586275883531,1586275890043
"2967038",0.3781135765743844,0.7933206400199158,0.46013285355993916,0.5,"height","color",0.22267784105103183,2,"fuel",1586275885045,1586275892347
"1258996",0.13611101343794818,0.4368861288335919,0.20597350113846424,0.06,"color","height",-0.001822094251303228,4,"fuel",1586275891549,1586275898878
"1258996",0.1464878530937923,0.47554611908782163,0.6509017674934197,0.79,"color","height",0.2803322315843133,7,"fuel",1586275902286,1586275908999
"824962",0.9987802668183422,0.9058611574726578,0.13573061901053218,0.16,"color","height",0.009372721324867161,3,"fuel",1586275869332,1586275911042
"1258996",0.1464878530937923,0.47554611908782163,0.6509017674934197,0.1,"color","height",-0.04779459058628365,7,"fuel",1586275910502,1586275914642
"1258996",0.40423033428425326,0.8045221630590882,0.6526118626103374,0.11,"height","height",-0.17530807344434615,8,"fuel",1586275916146,1586275919427
"1258996",0.40423033428425326,0.8045221630590882,0.6526118626103374,0.31,"height","height",-0.014403640832528514,8,"fuel",1586275920930,1586275923587
"824962",0.6147660026712334,0.5048938855308398,0.19371616343737463,0.24,"height","color",0.002084421078199422,4,"fuel",1586275912546,1586275926074
"2577564",0.5739827543460829,0.8237996950918336,0.9628270936922709,0.67,"height","height",-0.0007003514849951431,1,"fuel",1586275917873,1586275926967
"2577564",0.8989371086002338,0.7461303476164454,0.059229428266186934,0.16,"height","color",0.06613732462898023,2,"fuel",1586275928479,1586275933289
